Event,City,date,Discipline,Rank
IFSC World Cup Salt Lake City 2024,Salt Lake CIty,2024-05-06,boulder,1
IFSC World Cup Wujiang 2024,Wujiang,2024-04-14,lead,3
IFSC World Cup Keqiao 2024,Keqiao,2024-04-10,boulder,2
IFSC Asian Qualifier Jakarta 2023,Jakarta,2023-11-12,boulder&lead,1
IFSC World Cup Wujiang 2023,Wujiang,2023-09-24,lead,1
IFSC World Cup Koper 2023,Koper,2023-09-09,lead,1
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder&lead,4
IFSC World Championships Bern 2023,Bern,2023-08-12,lead,2
IFSC World Championships Bern 2023,Bern,2023-08-12,boulder,4
IFSC World Cup Briançon 2023,Briançon,2023-07-15,lead,1
IFSC World Cup Chamonix 2023,Chamonix,2023-07-09,lead,3
IFSC World Cup Villars 2023,Villars-sur-Ollon,2023-07-02,lead,6
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,lead,4
IFSC World Cup Innsbruck 2023,Innsbruck,2023-06-18,boulder,1
IFSC World Cup Brixen 2023,Brixen,2023-06-11,boulder,5
IFSC World Cup Prague 2023,Prague,2023-06-04,boulder,7
IFSC World Cup Salt Lake City 2023,Salt Lake City,2023-05-22,boulder,2
IFSC World Cup Seoul 2023,Seoul,2023-04-30,boulder,29
IFSC World Cup Hachioji 2023,Hachioji,2023-04-23,boulder,5
"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",United States,2022-09-01,boulder,3
"IFSC - Climbing Youth World Championships (B,S,L) - Dallas (USA) 2022",United States,2022-09-01,lead,1
"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",Voronezh,2021-08-31,lead,1
"IFSC - Climbing Youth World Championships (B,L,S) - Voronezh (RUS) 2021",Voronezh,2021-08-31,boulder,2
